name,latitude,longitude,parent,resolution
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctica,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Antarctic,-75.250973,-0.071389,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Arctic,80,135,NONE,2
Argentina,-38.416097,-63.616672,NONE,2
Australia,-25.274398,133.775136,NONE,2
Bolivia,-16.290154,-63.588653,NONE,2
Canada,56.130366,-106.346771,NONE,2
Canada,56.130366,-106.346771,NONE,2
Canada,56.130366,-106.346771,NONE,2
Canada,56.130366,-106.346771,NONE,2
Canada,56.130366,-106.346771,NONE,2
Canada,56.130366,-106.346771,NONE,2
Switzerland,46.818188,8.227512,NONE,2
Switzerland,46.818188,8.227512,NONE,2
Switzerland,46.818188,8.227512,NONE,2
Chile,-35.675147,-71.542969,NONE,2
Chile,-35.675147,-71.542969,NONE,2
Chile,-35.675147,-71.542969,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China,35.86166,104.195397,NONE,2
China.,35.86166,104.195397,NONE,2
Germany,51.165691,10.451526,NONE,2
England,52.470087,1.079603,NONE,2
Spain,40.463667,-3.74922,NONE,2
Finland,61.92411,25.748151,NONE,2
Finland,61.92411,25.748151,NONE,2
Finland,61.92411,25.748151,NONE,2
Finland,61.92411,25.748151,NONE,2
France,46.227638,2.213749,NONE,2
France,46.227638,2.213749,NONE,2
France,46.227638,2.213749,NONE,2
Greenland,71.706936,-42.604303,NONE,2
Greenland,71.706936,-42.604303,NONE,2
Greenland,71.706936,-42.604303,NONE,2
Greenland,71.706936,-42.604303,NONE,2
Greenland,71.706936,-42.604303,NONE,2
Greenland,71.706936,-42.604303,NONE,2
Greenland,71.706936,-42.604303,NONE,2
Greenland,71.706936,-42.604303,NONE,2
